time[s],SAS[V],FWM[V]
-1.319661457729,-0.00101796,0.000851256
-1.319010416062,-0.000980276,0.000851256
-1.318359374395,-0.0010054,0.000976885
-1.317708332728,-0.00103053,0.000851256
-1.317057291061,-0.000980276,0.000976885
-1.3164062493939999,-0.000955151,0.00110251
-1.3157552077269998,-0.00101796,0.00110251
-1.31510416606,-0.00103053,0.00110251
-1.314453124393,-0.000992839,0.00122814
-1.313802082726,-0.000980276,0.00122814
-1.313151041059,-0.0010054,0.00122814
-1.312499999392,-0.000967714,0.00135377
-1.3118489577249999,-0.000992839,0.00135377
-1.3111979160579998,-0.000992839,0.00135377
-1.310546874391,-0.000967714,0.00135377
-1.309895832724,-0.000980276,0.00135377
-1.309244791057,-0.00103053,0.0014794
-1.30859374939,-0.000955151,0.00160503
-1.307942707723,-0.000980276,0.00160503
-1.307291666056,-0.0010054,0.00160503
-1.3066406243889999,-0.000955151,0.00173065
-1.3059895827219998,-0.000942588,0.00173065
-1.305338541055,-0.0010054,0.00173065
-1.304687499388,-0.0010054,0.00185628
-1.304036457721,-0.000955151,0.00185628
-1.303385416054,-0.000992839,0.00198191
-1.302734374387,-0.000980276,0.00198191
-1.3020833327199999,-0.000967714,0.00198191
-1.3014322910529998,-0.0010054,0.00210754
-1.300781249386,-0.0010054,0.00210754
-1.300130207719,-0.000992839,0.00210754
-1.299479166052,-0.000992839,0.00210754
-1.298828124385,-0.000980276,0.00210754
-1.298177082718,-0.000980276,0.00223317
-1.297526041051,-0.0010054,0.00235879
-1.2968749993839999,-0.0010054,0.00235879
-1.2962239577169998,-0.000980276,0.00235879
-1.29557291605,-0.00101796,0.00248442
-1.294921874383,-0.00101796,0.00248442
-1.294270832716,-0.00101796,0.00248442
-1.293619791049,-0.000967714,0.00248442
-1.292968749382,-0.00103053,0.00261005
-1.2923177077149999,-0.00101796,0.00261005
-1.2916666660479998,-0.000992839,0.00261005
-1.291015624381,-0.00103053,0.00273568
-1.290364582714,-0.00103053,0.00273568
-1.289713541047,-0.00101796,0.00286131
-1.28906249938,-0.00101796,0.00286131
-1.288411457713,-0.00101796,0.00286131
-1.287760416046,-0.00101796,0.00286131
-1.2871093743789999,-0.000967714,0.00298693
-1.2864583327119998,-0.00104309,0.00298693
-1.285807291045,-0.00101796,0.00298693
-1.285156249378,-0.000980276,0.00311256
-1.284505207711,-0.000967714,0.00311256
-1.283854166044,-0.000992839,0.00323819
-1.283203124377,-0.00101796,0.00323819
-1.2825520827099999,-0.00101796,0.00323819
-1.2819010410429998,-0.00101796,0.00336382
-1.281249999376,-0.00101796,0.00336382
-1.280598957709,-0.0010054,0.00348945
-1.279947916042,-0.0010054,0.00348945
-1.279296874375,-0.000992839,0.00348945
-1.278645832708,-0.000992839,0.00361508
-1.277994791041,-0.0010054,0.00361508
-1.2773437493739999,-0.000967714,0.0037407
-1.2766927077069998,-0.000980276,0.0037407
-1.27604166604,-0.00103053,0.00386633
